"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://staging.jakevibes.dev/compare/dedicated-teams-vs-toptal","1","Dedicated teams vs Toptal: cost, continuity, and product velocity comparison | Cloud Employee","93","839","Indexable",""
"https://staging.jakevibes.dev/compare/inhouse-hiring","1","Cloud Employee vs. In-House Hiring Reviews","42","394","Indexable",""
"https://staging.jakevibes.dev/compare/toptal-vs-upwork","1","Toptal vs Upwork: Premium vs General Platform Comparison | Cloud Employee","73","702","Indexable",""
"https://staging.jakevibes.dev/compare/switching-from-arc-dev-to-a-dedicated-development-team","1","Arc.dev Alternative: Migrate to Dedicated Team in 4 Weeks | Cloud Employee","74","684","Indexable",""
"https://staging.jakevibes.dev/compare/freelancers","1","Freelancers vs Cloud Employee | Talent Quality & Reliability","60","525","Indexable",""
"https://staging.jakevibes.dev/contact","1","Cloud Employee - Contact","24","229","Indexable",""
"https://staging.jakevibes.dev/compare/the-hidden-costs-of-arc-dev-screening-time-failed-hires-and-context-switching","1","Arc.dev Total Cost of Ownership for CTOs in 2026 | Cloud Employee","65","599","Indexable",""
"https://staging.jakevibes.dev/customer-stories","1","Our Customer Stories | Cloud Employee","37","351","Indexable",""
"https://staging.jakevibes.dev/customer-story/cleanlink","1","CleanLink x Cloud Employee Customer Story | Results & Review","60","562","Indexable",""
"https://staging.jakevibes.dev/customer-story/mercato","1","Mercato x Cloud Employee Customer Story | Results & Review","58","548","Indexable",""
"https://staging.jakevibes.dev/customer-story/event-connections","1","Event Connections x Cloud Employee Customer Story | Results","59","554","Indexable",""
"https://staging.jakevibes.dev/customer-story/salmon-software","1","Salmon Software x Cloud Employee Customer Story | Results &","59","559","Indexable",""
"https://staging.jakevibes.dev/customer-story/sqr","1","SQR x Cloud Employee Customer Story | Results & Review","54","512","Indexable",""
"https://staging.jakevibes.dev/downloads","1","Free Downloads | Cloud Employee","31","301","Indexable",""
"https://staging.jakevibes.dev/customer-story/willo","1","Willo® x Cloud Employee Customer Story | Results & Review","57","534","Indexable",""
"https://staging.jakevibes.dev/download/10-ai-prompts","1","10 AI Prompts for Engineers 2025 | Cloud Employee","49","457","Indexable",""
"https://staging.jakevibes.dev/events","1","Events & Webinars | Cloud Employee","34","324","Indexable",""
"https://staging.jakevibes.dev/hiring-tips/hiring-developers-in-the-philippines-cost-quality-culture-fit-for-outsourced-software-development","1","Hiring Developers in the Philippines: Cost, Quality & Culture Fit | Cloud Employee","82","711","Indexable",""
"https://staging.jakevibes.dev/hiring-tips","1","Hiring Developers Knowledge Hub | Cloud Employee","48","461","Indexable",""
"https://staging.jakevibes.dev/hiring-tips/developer-vetting-in-latam-live-pair-programming-coding-tests-and-quality-signals-that-matter","1","Developer Vetting in LATAM: Live Pair Programming, Coding Tests, and Quality Signals That Matter | Cloud Employee","113","1042","Indexable",""
"https://staging.jakevibes.dev/hiring-tips/how-to-avoid-costly-mistakes-when-hiring-a-remote-developer","1","How to Avoid Costly Mistakes When Hiring a Remote Developer | Cloud Employee","76","722","Indexable",""
"https://staging.jakevibes.dev/hiring-tips/how-to-run-pair-programming-interviews-cloud-employees-hiring-sop","1","Pair Programming Interviews: Cloud Employee’s Hiring SOP for Engineers","70","653","Indexable",""
"https://staging.jakevibes.dev/legals/general-terms","1","General Terms | Cloud Employee","30","291","Indexable",""
"https://staging.jakevibes.dev/legals/privacy-policy","1","Privacy Policy | Cloud Employee","31","281","Indexable",""
"https://staging.jakevibes.dev/how-it-works","1","How It Works | Cloud Employee","29","276","Indexable",""
"https://staging.jakevibes.dev/managing-engineers/avoiding-burnout-in-scaling-engineering-teams","1","Avoiding Burnout in Scaling Engineering Teams | Cloud Employee","62","578","Indexable",""
"https://staging.jakevibes.dev/managing-engineers/data-engineer-vs-data-scientist-vs-ai-engineer-key-differences-demand-drivers-and-how-to-hire-right","1","Data Engineer, AI Engineer & Data Scientist: Explained | Cloud Employee","71","636","Indexable",""
"https://staging.jakevibes.dev/managing-engineers","1","Managing Engineers Knowledge Hub | Cloud Employee","49","484","Indexable",""
"https://staging.jakevibes.dev/managing-engineers/how-peer-forums-are-changing-remote-work-at-cloud-employee","1","From Solo to Supported: How Peer Forums Transform Remote Work at Cloud Employee","79","777","Indexable",""
"https://staging.jakevibes.dev/managing-engineers/managing-distributed-teams-a-ctos-2025-playbook","1","Managing Distributed Teams: A CTO’s 2025 Playbook | Cloud Employee","66","632","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring","1","Nearshoring & Offshoring Knowledge Hub | Cloud Employee","55","528","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/choosing-nearshore-or-offshore-software-development-costs-by-country","1","Software Development Outsourcing Costs by Country | Cloud Employee","66","631","Indexable",""
"https://staging.jakevibes.dev/managing-engineers/onboarding-latam-developers-90-day-ramp-up-timeline-productivity-curve-and-integration-playbook","1","Onboarding LATAM Developers: 90-Day Ramp-Up Timeline, Productivity Curve, and Integration Playbook | Cloud Employee","115","1080","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/7-benefits-of-outsourcing-web-development-for-startups","1","7 Benefits of Outsourcing Web Development for Startups | Cloud Employee","71","664","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/freelancers-vs-cloud-employee","1","Freelancers vs. Cloud Employee","30","283","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/it-outsourcing-services-scope-slas-2025-costs","1","Understanding IT Outsourcing Services: Scope, SLAs & Costs in 2025 | Cloud Employee","83","767","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/nearshore-software-development-how-to-choose-the-right-vendor","1","Choose the Right Nearshore Software Development Company (2026) | Cloud Employee","79","770","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/nearshore-vs-offshore-costs-2026-software-development-rates","1","Nearshore vs Offshore Rates 2026 | Software Dev Cost Guide | Cloud Employee","75","702","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/nearshoring-or-offshoring-the-strategic-choice-for-tech-leaders","1","Nearshoring or Offshoring? The Strategic Choice for Tech Leaders | Cloud Employee","81","745","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/nearshore-vs-offshore-staff-augmentation","1","Nearshore vs Offshore Staff Augmentation: Cost & Timezone | Cloud Employee","74","702","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/offshore-developer-pricing-hourly-vs-monthly","1","Offshore developer hourly rate vs monthly fee: which pricing model saves more for scaling teams | Cloud Employee","112","1022","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/what-is-it-outsourcing-definition-models-when-to-use-it","1","IT Outsourcing Models Explained | Definition & Use Cases | Cloud Employee","73","666","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring/what-is-nearshoring-benefits-and-challenges-for-software-development-teams","1","What Is Nearshoring? Benefits and Challenges for Software Development Teams | Cloud Employee","92","876","Indexable",""
"https://staging.jakevibes.dev/nearshoring-offshoring?47af9676_page=2","1","Nearshoring & Offshoring Knowledge Hub | Cloud Employee","55","528","Non-Indexable","Canonicalised"
"https://staging.jakevibes.dev/nearshoring-offshoring/what-is-offshoring-cost-effective-tech-teams-explained","1","What Is Offshoring? Cost-Effective Tech Teams Explained | Cloud Employee","72","671","Indexable",""
"https://staging.jakevibes.dev/reviews/aspire-creative","1","Aspire Creative Review | Cloud Employee Client Quote","52","480","Indexable",""
"https://staging.jakevibes.dev/pricing","1","World-class senior engineers at a fair price | Cloud Employee","61","538","Indexable",""
"https://staging.jakevibes.dev/our-work","1","Our Work | Cloud Employee","25","241","Indexable",""
"https://staging.jakevibes.dev/reviews","1","Cloud Employee Reviews","22","222","Indexable",""
"https://staging.jakevibes.dev/reviews/bladefs","1","BladeFS Review | Cloud Employee Client Quote","44","416","Indexable",""
"https://staging.jakevibes.dev/reviews/salmon-software","1","Salmon Software Review | Cloud Employee Client Quote","52","497","Indexable",""
"https://staging.jakevibes.dev/reviews/healthpointe","1","Healthpointe Review | Cloud Employee Client Quote","49","458","Indexable",""
"https://staging.jakevibes.dev/reviews/willo","1","Willo® Review | Cloud Employee Client Quote","43","403","Indexable",""
"https://staging.jakevibes.dev/reviews/square-eye","1","Square Eye Review | Cloud Employee Client Quote","47","442","Indexable",""
"https://staging.jakevibes.dev/reviews/tidal","1","Tidal Review | Cloud Employee Client Quote","42","387","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/cto-profile-meet-des-matthewson","1","Meet Des Matthewson | Cloud Employee","36","359","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/building-a-software-development-team-core-roles-dedicated-developers-and-modern-hiring-models","1","Building a Software Development Team in 2025: Core Roles, Dedicated Developers, and Modern Hiring Models | Cloud Employee","121","1135","Indexable",""
"https://staging.jakevibes.dev/scaling-teams","1","Scaling Software Teams Knowledge Hub | Cloud Employee","53","521","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/h-1b-vs-staff-augmentation-the-true-cost-of-hiring-in-2025-and-why-costs-are-rising","1","H-1B vs Staff Augmentation Cost in 2025 | Cloud Employee","56","523","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/leadership-strategies-for-scaling-engineering-teams","1","Leadership Strategies For Scaling Engineering Teams | Cloud Employee","68","635","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/scaling-agile-teams-across-time-zones","1","Scaling Agile Teams Across Time Zones | Global Delivery Best Practices | Cloud Employee","87","799","Indexable",""
"https://staging.jakevibes.dev/services","1","Full Embedded Tech Teams | Cloud Employee","41","406","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/scaling-latam-developers-1-to-10-strategy","1","Scale 1 to 10 LATAM Developers: Phased Hiring Guide | Cloud Employee","68","641","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/toptal-scaling-limitations","1","Toptal Alternatives 2026: Best Options for Scaling CTOs | Cloud Employee","72","655","Indexable",""
"https://staging.jakevibes.dev/scaling-teams/why-consider-alternatives-to-software-development-outsourcing","1","Alternatives to Software Development Outsourcing for Leaders | Cloud Employee","77","719","Indexable",""
"https://staging.jakevibes.dev/services/ai-consulting","1","Expert AI Consulting with Cloud Employee | Consulting","53","481","Indexable",""
"https://staging.jakevibes.dev/services/ai-engineers","1","Hire AI Engineers with Cloud Employee | Staff Augmentation","58","535","Indexable",""
"https://staging.jakevibes.dev/services/ai-product-builds","1","End-to-End AI Product Builds with Cloud Employee | Product","58","529","Indexable",""
"https://staging.jakevibes.dev/services/android-developers","1","Hire Android Developers with Cloud Employee | Staff","51","466","Indexable",""
"https://staging.jakevibes.dev/services/cloud-engineers","1","Hire Cloud Engineers with Cloud Employee | Staff","48","436","Indexable",""
"https://staging.jakevibes.dev/services/back-end-developers","1","Hire Back-End Developers with Cloud Employee | Staff","52","479","Indexable",""
"https://staging.jakevibes.dev/services/fractional-ctos","1","Fractional CTO - Cloud Employee","31","292","Indexable",""
"https://staging.jakevibes.dev/services/data-scientists","1","Hire Data Scientists with Cloud Employee | Staff","48","427","Indexable",""
"https://staging.jakevibes.dev/services/devops-engineers","1","Hire DevOps Engineers with Cloud Employee | Staff","49","454","Indexable",""
"https://staging.jakevibes.dev/services/full-stack-developers","1","Hire Full-Stack Developers with Cloud Employee | Staff","54","485","Indexable",""
"https://staging.jakevibes.dev/services/front-end-developers","1","Hire Front-End Developers with Cloud Employee | Staff","53","483","Indexable",""
"https://staging.jakevibes.dev/services/mobile-apps","1","Build Mobile Apps with Cloud Employee | Product Builds","54","494","Indexable",""
"https://staging.jakevibes.dev/services/ios-developers","1","Hire iOS Developers with Cloud Employee | Staff Augmentation","60","560","Indexable",""
"https://staging.jakevibes.dev/services/latam-developers","1","Hire senior engineers in Latin America | Cloud Employee","55","499","Indexable",""
"https://staging.jakevibes.dev/services/mvp-development","1","End-to-End MVP Development with Cloud Employee | Product","56","544","Indexable",""
"https://staging.jakevibes.dev/services/mobile-developers","1","Hire Mobile Developers with Cloud Employee | Staff","50","457","Indexable",""
"https://staging.jakevibes.dev/services/product-scoping-service","1","Expert Product Scoping with Cloud Employee | Consulting","55","509","Indexable",""
"https://staging.jakevibes.dev/services/qa-analysts-testers","1","Hire QA Analysts & Testers with Cloud Employee | Staff","54","490","Indexable",""
"https://staging.jakevibes.dev/services/no-code-developers","1","Hire No-Code Developers with Cloud Employee | Staff","51","474","Indexable",""
"https://staging.jakevibes.dev/services/philippines-developers","1","Hire senior engineers in the Philippines | Cloud Employee","57","506","Indexable",""
"https://staging.jakevibes.dev/services/software-engineers","1","Hire Engineers - Cloud Employee","31","289","Indexable",""
"https://staging.jakevibes.dev/services/web-based-apps","1","Build Web-Based Apps with Cloud Employee | Product Builds","57","535","Indexable",""
"https://staging.jakevibes.dev/services/web-developers","1","Hire Web Developers with Cloud Employee | Staff Augmentation","60","569","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/best-staff-augmentation-companies-in-latin-america-2026-a-ranked-comparison","1","Best Staff Augmentation Companies in Latin America 2026: A Ranked Comparison | Cloud Employee","93","892","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation","1","Staff Augmentation Knowledge Hub | Cloud Employee","49","479","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/cloud-employee-pricing-bootstrapped-founders","1","Cloud Employee Pricing: Offshore Developers for $3K/Month","57","538","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/cloud-employee-pricing-negotiation-flexibility","1","Cloud Employee Pricing: Negotiable or Fixed Rates?","50","458","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/cloud-employee-pricing-checklist-before-hire","1","Cloud Employee Pricing Checklist for Founders 2026","50","464","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/how-staff-augmentation-is-rewriting-the-rules-of-software-development-speed-and-efficiency","1","How Staff Augmentation is Rewriting the Rules of Software Development Speed and Efficiency | Cloud Employee","107","999","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/cloud-employee-vs-in-house-total-cost-ownership","1","Cloud Employee Pricing 2026: True Cost vs In House","50","464","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/h-1b-changes-2025-2030-staff-augmentation-for-scaling-teams","1","H-1B Changes 2025–2030 | Staff Augmentation for Scaling Teams | Cloud Employee","78","748","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/guide-to-it-staff-augmentation-services-in-usa","1","IT Staff Augmentation USA | Complete Services Guide | Cloud Employee","68","639","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/how-to-evaluate-staff-augmentation-providers-in-latam-a-founders-vetting-checklist","1","How to Evaluate Staff Augmentation Providers in LATAM: A Founder's Vetting Checklist | Cloud Employee","101","937","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/how-to-choose-the-right-it-staff-augmentation-company","1","Choosing an IT Staff Augmentation Partner | Key Criteria | Cloud Employee","73","662","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-contract-terms-explained-commitments-guarantees-and-exit-clauses","1","Staff Augmentation Contract Terms: What to Negotiate | Cloud Employee","69","652","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-fintech-security-compliance","1","LATAM Fintech Developers: Security & Compliance Guide | Cloud Employee","70","667","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-implementation-90-day-onboarding-playbook-for-new-developers","1","90 Day Developer Onboarding Playbook for CTOs 2026 | Cloud Employee","67","640","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/latam-staff-augmentation-trends-2026","1","LATAM Staff Augmentation Costs 2026: Rates & Trends | Cloud Employee","68","655","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-misconceptions-what-ctos-need-to-know","1","Staff Augmentation Misconceptions: What CTOs Need to Know | Cloud Employee","74","720","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-mistakes-to-avoid","1","10 Staff Augmentation Mistakes That Destroy ROI in 2026 | Cloud Employee","72","672","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-myths-debunked","1","LATAM Staff Augmentation: 5 Myths Debunked for Founders | Cloud Employee","72","697","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-mistakes-to-avoid-common-failures-and-how-to-prevent-them","1","Staff Augmentation Mistakes: 8 Failures to Avoid | Cloud Employee","65","595","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-models-scale-tech-teams-globally-win","1","Staff Augmentation Models: Scale Tech Teams Globally & Win | Cloud Employee","75","711","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-roi-calculator-measure-cost-savings-and-productivity-gains","1","Staff Augmentation ROI Calculator: Measure Cost Savings and Productivity Gains | Cloud Employee","95","880","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-pricing-models-in-latam","1","LATAM Staff Augmentation Pricing: True All In Costs 2026 | Cloud Employee","73","677","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-vs-freelancers","1","Staff Augmentation vs Freelancers: Real Cost Analysis | Cloud Employee","70","643","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-vs-in-house-hiring-cost-speed-and-risk-comparison","1","Staff Augmentation vs In House Hiring: Cost Comparison | Cloud Employee","71","664","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-vs-traditional-hiring-cost-speed-and-risk-comparison","1","Staff Augmentation ROI: Cost vs Traditional Hiring 2026 | Cloud Employee","72","654","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/staff-augmentation-vs-outsourcing","1","Staff Augmentation vs Outsourcing: Which Model Scales | Cloud Employee","70","661","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/using-latam-staff-augmentation-to-scale-early-stage-saas","1","Using LATAM Staff Augmentation to Scale Early-Stage SaaS | Cloud Employee","73","694","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/what-is-nearshore-staff-augmentation-model-benefits-examples","1","Nearshore Staff Augmentation Explained: Benefits & Examples | Cloud Employee","76","716","Indexable",""
"https://staging.jakevibes.dev/staff-augmentation/what-is-staff-augmentation-and-what-are-the-benefits","1","What is Staff Augmentation? And What Are the Benefits? | Cloud Employee","71","665","Indexable",""
"https://staging.jakevibes.dev/team/aj-develos","1","AJ Develos – Head of Talent | Cloud Employee","44","413","Indexable",""
"https://staging.jakevibes.dev/team/grace-tannor","1","Grace Tannor – Client Services Manager | Cloud Employee","55","519","Indexable",""
"https://staging.jakevibes.dev/team/anto-cabraja","1","Anto Čabraja – Chief Technology Officer | Cloud Employee","56","517","Indexable",""
"https://staging.jakevibes.dev/team/viktoria-mangarin","1","Viktoria Mangarin – HR and Events Specialist | Cloud Employee","61","560","Indexable",""
"https://staging.jakevibes.dev/team/jake-hall","1","Jake Hall – Co-Founder & CIO | Cloud Employee","45","421","Indexable",""
"https://staging.jakevibes.dev/team/stephanie-bird","1","Stephanie Bird – Head of Partnerships | Cloud Employee","54","500","Indexable",""
"https://staging.jakevibes.dev/technology","1","Your tech-stack, our expertise | Cloud Employee","47","423","Indexable",""
"https://staging.jakevibes.dev/technology/airtable-developers","1","Airtable Developers for Hire | Cloud Employee","45","405","Indexable",""
"https://staging.jakevibes.dev/technology/ansible","1","Ansible Developers for Hire | Cloud Employee","44","401","Indexable",""
"https://staging.jakevibes.dev/technology/android","1","Android Developers for Hire | Cloud Employee","44","404","Indexable",""
"https://staging.jakevibes.dev/technology/aws-developers","1","AWS Developers for Hire | Cloud Employee","40","378","Indexable",""
"https://staging.jakevibes.dev/technology/angular-developers","1","Angular Developers for Hire | Cloud Employee","44","404","Indexable",""
"https://staging.jakevibes.dev/technology/bigquery","1","BigQuery Developers for Hire | Cloud Employee","45","415","Indexable",""
"https://staging.jakevibes.dev/technology/bubble-developers","1","Bubble Developers for Hire | Cloud Employee","43","396","Indexable",""
"https://staging.jakevibes.dev/technology/azure-developers","1","Azure Developers for Hire | Cloud Employee","42","387","Indexable",""
"https://staging.jakevibes.dev/technology/coredata","1","CoreData Developers for Hire | Cloud Employee","45","419","Indexable",""
"https://staging.jakevibes.dev/technology/browserstack","1","BrowserStack Developers for Hire | Cloud Employee","49","458","Indexable",""
"https://staging.jakevibes.dev/technology/combine","1","Combine Developers for Hire | Cloud Employee","44","415","Indexable",""
"https://staging.jakevibes.dev/technology/compose","1","Compose Developers for Hire | Cloud Employee","44","420","Indexable",""
"https://staging.jakevibes.dev/technology/css3","1","CSS3 Developers for Hire | Cloud Employee","41","383","Indexable",""
"https://staging.jakevibes.dev/technology/csharp-developers","1","C# Developers for Hire | Cloud Employee","39","360","Indexable",""
"https://staging.jakevibes.dev/technology/dbt","1","DBT Developers for Hire | Cloud Employee","40","372","Indexable",""
"https://staging.jakevibes.dev/technology/dagger","1","Dagger Developers for Hire | Cloud Employee","43","399","Indexable",""
"https://staging.jakevibes.dev/technology/cypress","1","Cypress Developers for Hire | Cloud Employee","44","406","Indexable",""
"https://staging.jakevibes.dev/technology/docker","1","Docker Developers for Hire | Cloud Employee","43","397","Indexable",""
"https://staging.jakevibes.dev/technology/express","1","Express Developers for Hire | Cloud Employee","44","405","Indexable",""
"https://staging.jakevibes.dev/technology/firebase-developers","1","Firebase Developers for Hire | Cloud Employee","45","412","Indexable",""
"https://staging.jakevibes.dev/technology/fastlane","1","Fastlane Developers for Hire | Cloud Employee","45","412","Indexable",""
"https://staging.jakevibes.dev/technology/dotnet-developers","1",".NET Developers for Hire | Cloud Employee","41","377","Indexable",""
"https://staging.jakevibes.dev/technology/figma","1","Figma Developers for Hire | Cloud Employee","42","391","Indexable",""
"https://staging.jakevibes.dev/technology/flutter-developers","1","Flutter Developers for Hire | Cloud Employee","44","394","Indexable",""
"https://staging.jakevibes.dev/technology/github-actions","1","GitHub Actions Developers for Hire | Cloud Employee","51","469","Indexable",""
"https://staging.jakevibes.dev/technology/gitlab-ci","1","GitLab CI Developers for Hire | Cloud Employee","46","417","Indexable",""
"https://staging.jakevibes.dev/technology/graphql","1","GraphQL Developers for Hire | Cloud Employee","44","414","Indexable",""
"https://staging.jakevibes.dev/technology/google-cloud-developers","1","Google Cloud Developers for Hire | Cloud Employee","49","454","Indexable",""
"https://staging.jakevibes.dev/technology/glide","1","Glide Developers for Hire | Cloud Employee","42","381","Indexable",""
"https://staging.jakevibes.dev/technology/huggingface-developers","1","HuggingFace Developers for Hire | Cloud Employee","48","452","Indexable",""
"https://staging.jakevibes.dev/technology/iam","1","IAM Developers for Hire | Cloud Employee","40","370","Indexable",""
"https://staging.jakevibes.dev/technology/ionic-developers","1","Ionic Developers for Hire | Cloud Employee","42","377","Indexable",""
"https://staging.jakevibes.dev/technology/java-android-developers","1","Java (Android) Developers for Hire | Cloud Employee","51","466","Indexable",""
"https://staging.jakevibes.dev/technology/java-developers","1","Java Developers for Hire | Cloud Employee","41","378","Indexable",""
"https://staging.jakevibes.dev/technology/jest","1","Jest Developers for Hire | Cloud Employee","41","374","Indexable",""
"https://staging.jakevibes.dev/technology/jetpack","1","Jetpack Developers for Hire | Cloud Employee","44","406","Indexable",""
"https://staging.jakevibes.dev/technology/jira","1","Jira Developers for Hire | Cloud Employee","41","369","Indexable",""
"https://staging.jakevibes.dev/technology/jupyter","1","Jupyter Developers for Hire | Cloud Employee","44","402","Indexable",""
"https://staging.jakevibes.dev/technology/kubeflow","1","Kubeflow Developers for Hire | Cloud Employee","45","419","Indexable",""
"https://staging.jakevibes.dev/technology/kotlin-developers","1","Kotlin Developers for Hire | Cloud Employee","43","387","Indexable",""
"https://staging.jakevibes.dev/technology/kubernetes","1","Kubernetes Developers for Hire | Cloud Employee","47","438","Indexable",""
"https://staging.jakevibes.dev/technology/laravel-developers","1","Laravel Developers for Hire | Cloud Employee","44","401","Indexable",""
